Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-Sep-24,EQ,"1,934.00","1,937.80","1,858.00","1,894.10","1,872.00","1,870.30","1,879.17","2,338.75","1,798.25","2,54,822","47,88,53,172.00","20,558"
20-Sep-24,EQ,"1,957.55","1,965.75","1,885.00","1,952.65","1,898.90","1,894.10","1,914.53","2,338.75","1,798.25","3,01,192","57,66,41,997.65","27,348"
19-Sep-24,EQ,"1,987.00","1,987.00","1,921.40","1,969.55","1,967.85","1,952.65","1,952.19","2,338.75","1,798.25","1,23,777","24,16,36,801.45","13,957"
18-Sep-24,EQ,"1,996.90","2,017.00","1,960.50","1,982.40","1,980.20","1,969.55","1,985.59","2,338.75","1,798.25","1,71,138","33,98,09,845.15","16,483"
17-Sep-24,EQ,"2,029.95","2,065.00","1,977.95","2,025.70","1,983.00","1,982.40","2,028.12","2,338.75","1,798.25","3,54,891","71,97,60,544.50","27,970"
16-Sep-24,EQ,"2,055.00","2,063.00","2,014.00","2,046.65","2,018.00","2,025.70","2,035.89","2,338.75","1,798.25","1,75,720","35,77,46,381.55","15,471"
13-Sep-24,EQ,"2,020.00","2,095.00","2,016.00","1,994.45","2,049.00","2,046.65","2,050.85","2,338.75","1,798.25","6,44,987","1,32,27,73,205.40","40,687"
12-Sep-24,EQ,"1,949.90","2,093.70","1,945.60","1,926.15","1,988.00","1,994.45","2,017.85","2,338.75","1,798.25","14,46,736","2,91,92,94,887.50","90,132"
11-Sep-24,EQ,"1,935.95","1,970.00","1,904.05","1,930.40","1,917.00","1,926.15","1,941.06","2,338.75","1,798.25","4,20,687","81,65,80,791.10","29,956"
10-Sep-24,EQ,"1,902.00","1,938.50","1,901.05","1,902.05","1,932.00","1,930.40","1,920.63","2,338.75","1,798.25","55,223","10,60,63,094.30","6,366"
09-Sep-24,EQ,"1,904.05","1,928.00","1,878.05","1,906.20","1,895.90","1,902.05","1,901.56","2,338.75","1,798.25","78,291","14,88,74,728.45","9,803"
06-Sep-24,EQ,"1,945.00","1,959.15","1,901.55","1,942.65","1,903.05","1,906.20","1,922.67","2,338.75","1,798.25","93,445","17,96,63,550.45","10,233"
05-Sep-24,EQ,"1,921.50","1,988.00","1,921.50","1,919.90","1,943.00","1,942.65","1,956.18","2,338.75","1,798.25","1,66,560","32,58,21,209.05","15,882"
04-Sep-24,EQ,"1,900.00","1,943.00","1,885.65","1,905.55","1,923.00","1,919.90","1,926.12","2,338.75","1,798.25","1,36,102","26,21,49,295.50","14,910"
03-Sep-24,EQ,"1,899.00","1,955.35","1,889.65","1,889.50","1,900.00","1,905.55","1,915.96","2,338.75","1,798.25","1,08,477","20,78,37,640.55","11,102"
02-Sep-24,EQ,"1,924.00","1,929.00","1,881.00","1,916.40","1,894.80","1,889.50","1,897.85","2,338.75","1,798.25","80,038","15,18,99,795.05","9,487"
30-Aug-24,EQ,"1,937.00","1,946.85","1,901.00","1,918.30","1,916.45","1,916.40","1,922.00","2,338.75","1,798.25","1,18,278","22,73,29,975.00","12,253"
29-Aug-24,EQ,"1,960.00","1,967.90","1,901.00","1,953.35","1,923.50","1,918.30","1,934.63","2,338.75","1,798.25","95,346","18,44,59,625.50","10,767"
28-Aug-24,EQ,"1,910.40","2,012.00","1,907.90","1,899.00","1,953.00","1,953.35","1,964.15","2,338.75","1,798.25","6,20,719","1,21,91,86,315.30","46,823"
27-Aug-24,EQ,"1,895.15","1,913.05","1,876.05","1,892.45","1,912.00","1,899.00","1,894.55","2,338.75","1,798.25","71,984","13,63,77,429.35","9,255"
